Sligro;ivp;vp;maat;eh;Sligro artikelomschrijving;prijs;Categorie;Subcategorie;barcode;Leverancier
359328.1;1;st;320;gr;Port salut 52%;5.08;f;Kaas buitenland verpakt;3073780868747;Sligro
59106.1;1;bl;5;lt;Bonduelle witte bonen;4.85;f;Groenteconserven, peulvruchten;3083680001748;Sligro
104804.1;1;zk;2.5;kg;Bonduelle snijbonen hollandse;6.89;f;Groen&fruit diepvr. foodservic;3083680026468;Sligro
638434.1;1;zk;2.5;kg;Bonduelle broccoli losgevroren;9.60;f;Groen&fruit diepvr. foodservic;3083680055628;Sligro
638442.1;1;zk;1;kg;Bonduelle courgettes gegrild;6.08;f;Groen&fruit diepvr. foodservic;3083680056144;Sligro
366969.1;1;zk;2.5;kg;Bonduelle mexico melange minute;6.46;f;Groen&fruit diepvr. foodservic;3083680074469;Sligro
845989.1;1;zk;2.5;kg;Bonduelle spinazie blad(portieblok 125g);4.23;f;Groen&fruit diepvr. foodservic;3083680077828;Sligro
104870.1;1;zk;2.5;kg;Bonduelle tuinerwten extra fijn minute;5.75;f;Groen&fruit diepvr. foodservic;3083680078993;Sligro
155978.1;12;bl;300;gr;Bonduelle maiskorrels crispy;1.16;f;Groenteconserven, peulvruchten;3083681025484;Sligro
723810.1;1;pk;;;Bic kaarsaansteker u140;2.76;o;Kaarsen en kandelaars;3086126788388;Sligro
451552.1;1;st;400;gr;Eenden lever mousse ficelle 400 g;17.75;f;Poelier gekoeld concessionair;3104541058821;Sligro
113104.1;1;pt;30;gr;Sabarot morilles baby;12.92;f;Groenteconserven, peulvruchten;3111950326205;Sligro
207783.1;1;zk;3;kg;Lutti mint;10.40;f;Wichtgoed groot;3116740019800;Sligro
331524.1;1;pk;;;Post-it memo 102x76 geel;17.58;o;Kantoor;3134375014212;Sligro
357295.1;1;bs;20;st;3m lrsm frituurvetindicatostrips;12.21;f;Maaltijden & -componenten koel;3134375464284;Sligro
51750.1;1;pk;;;Office copierpapier multif a3/80;9.03;o;Kantoor;3141728704720;Sligro
259492.1;1;fl;70;cl;Gibson s gin;9.95;d;Gedistilleerd;3147690060703;Sligro
41852.1;1;st;250;gr;Camembert le rustique;3.04;f;Kaas buitenland verpakt;3153126826003;Sligro
50958.1;1;fl;25;cl;Lapalisse huileries walnootolie puur;5.23;f;Olien;3155700000038;Sligro
397208.1;1;fl;25;cl;Lapalisse huileries sesamolie virgin;5.56;f;Olien;3155700000779;Sligro
407299.1;1;fl;25;cl;Lapalisse huileries sesamolie;2.57;f;Olien;3155700000786;Sligro
84957.1;1;fl;25;cl;Lapalisse huileries walnootolie puur;5.23;f;Olien;3155700002711;Sligro
904377.1;1;pt;1;kg;Pellorce & jullien aardbeienpuree;5.99;d;Patisserieprodukten;3174070003159;Sligro
483986.1;1;pt;1;kg;Pellorce & jullien frambozenpuree;9.50;d;Patisserieprodukten;3174070003166;Sligro
958630.1;1;st;100;gr;Roquefort red papillon;2.19;f;Kaas buitenland verpakt;3177890001008;Sligro
42882.1;1;em;5;kg;Baleine zeezout grof;5.80;f;Kruiden en specerijen;3183280004702;Sligro
424453.1;1;pk;1;kg;La baleine zeezout, fijn;1.33;f;Kruiden en specerijen;3183280009745;Sligro
602946.1;1;pk;1;kg;La baleine zeezout, grof;1.33;f;Kruiden en specerijen;3183280009752;Sligro
436104.1;1;bs;1;kg;Le saunier de camargue fleur de sel;15.20;f;Kruiden en specerijen;3183280010369;Sligro
436112.1;1;zk;1;kg;Le saunier zeezout grof;1.47;f;Kruiden en specerijen;3183280012103;Sligro
436641.1;1;ds;50;st;Karea omelet naturel;25.18;f;Maaltijd,soep,pasta diepvries;3215200052682;Sligro
267068.1;1;st;200;gr;Saint albray;3.75;f;Kaas buitenland verpakt;3222110024449;Sligro
33045.1;1;pk;25;st;Lipton theezakjes prof.yellow label 25st;1.43;d;Thee;3228881002631;Sligro
29004.1;1;pk;25;st;Lipton theezakjes prof.gr. tea mint 25st;2.38;d;Thee;3228881015921;Sligro
728336.1;1;pk;25;st;Lipton theezakjes prof.lemon        25st;2.38;d;Thee;3228881016423;Sligro
265948.1;1;pk;25;st;Lipton theezakjes prof.earl grey    25st;2.19;d;Thee;3228881018403;Sligro
845405.1;1;pk;100;st;Lipton theezak yellow label env100x1,8g;4.47;d;Thee;3228881019318;Sligro
465962.1;1;pk;25;st;Lipton theezakjes prof.forest fruit 25st;2.38;d;Thee;3228881019493;Sligro
526491.1;1;st;1;kg;Eenden filet canard 2x350-400gr.;15.95;f;Poelier gekoeld concessionair;3235970340277;Sligro
526470.1;1;ds;40;st;Quiche lorraine 11cm 40 stuks;32.78;f;Maaltijd,soep,pasta diepvries;3248830026785;Sligro
682093.1;1;pt;1;lt;Isigny creme fraiche aoc;7.36;f;Roomproducten;3254550010164;Sligro
387606.1;1;em;3;lt;Isigny creme fraiche aoc;19.33;f;Roomproducten;3254550010287;Sligro
388275.1;1;st;250;gr;Boter rol 1/2 zout;3.23;f;Boter;3254550020439;Sligro
388940.1;1;st;250;gr;Camembert pyrograve;4.23;f;Kaas buitenland verpakt;3254550030193;Sligro
95128.1;1;pt;200;gr;Belmonte ansjovisfilet in olijfolie;5.70;f;Visconserven;3262960020116;Sligro
129422.1;1;zk;500;gr;Valfleuri tagliatelle 5mm;2.61;f;Pasta;3264963003622;Sligro
113277.1;1;bk;1;lt;Creme fraiche normande 30%;5.18;f;Roomproducten;3265776105145;Sligro
214926.1;1;bk;500;gr;Creme fraiche montebourg;3.75;f;Roomproducten;3265776108009;Sligro
426324.1;1;ds;20;st;Kwartel eieren 20st;2.85;f;Poelier gekoeld concessionair;3267910806208;Sligro
425797.1;1;pk;500;gr;Guyader rillettes zalm;6.60;f;Vis gekoeld;3276770010465;Sligro
776119.1;1;pt;135;gr;Guyader mini blinis;1.66;f;Vis gekoeld;3276770022536;Sligro
963407.1;1;fl;75;cl;Chateau lafon rochet 2011;31.30;d;Wijnen;3277035054118;Sligro
451531.1;1;fl;75;cl;La croisade sauvignon blanc;3.33;d;Wijnen;3280852100456;Sligro
